risk_pct,stop_atr_mult,adx_threshold,breakout_lookback,pullback_rsi_min,pullback_rsi_max,trailing_atr_mult,tp1_r,tp2_r,tp3_r,entry_mode,breakout_volume_mult,breakout_close_buffer_atr,reentry_cooldown_bars,tp1_size,tp2_size,move_stop_to_breakeven_after_tp1,use_monthly_controls,use_regime_filter,train_starting_equity,train_ending_equity,train_total_return_pct,train_average_monthly_return_pct,train_monthly_statistics,train_total_trades,train_win_rate_pct,train_average_win,train_average_loss,train_profit_factor,train_max_drawdown_pct,train_expectancy_per_trade,train_average_r_multiple,train_forced_closes,train_data_source,train_score
0.012,1.5,20.0,30,44.0,64.0,0.8,1.0,2.2,4.2,combined,1.2,0.0,1,0.45,0.25,False,False,False,10000,11274.996459030272,12.74996459030271,1.2704575430557474,"{'months_count': 9, 'average_monthly_return_pct': 1.2704575430557474, 'min_monthly_return_pct': 0.8068216540655371, 'max_monthly_return_pct': 1.5617708526934448, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",5,100.0,86.32059659498096,0.0,,-0.13553410808229727,86.32059659498096,2.312076006566817,1,optimization_train,
0.006,1.8,24.0,15,44.0,64.0,0.35,1.0,2.2,4.2,breakout,1.2,0.0,0,0.25,0.25,False,False,True,10000,10000.0,0.0,0.0,"{'months_count': 9, 'average_monthly_return_pct': 0.0, 'min_monthly_return_pct': 0.0, 'max_monthly_return_pct': 0.0, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",0,,0.0,0.0,,0.0,0.0,0.0,0,optimization_train,
0.006,1.5,20.0,15,46.0,62.0,0.35,1.2,2.6,4.8,combined,1.2,0.0,1,0.35,0.3,True,False,False,10000,10861.511507447987,8.615115074479874,0.888586871960648,"{'months_count': 9, 'average_monthly_return_pct': 0.888586871960648, 'min_monthly_return_pct': 0.6144733000051916, 'max_monthly_return_pct': 0.9622847231748111, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",8,100.0,38.136983288410434,0.0,,-0.1342061085834998,38.136983288410434,1.8638964981481347,1,optimization_train,
0.012,2.1,16.0,15,48.0,60.0,0.8,1.4,3.0,6.0,pullback,1.5,0.0,1,0.45,0.25,True,True,True,10000,10893.43417510834,8.934341751083386,0.9104272187176625,"{'months_count': 9, 'average_monthly_return_pct': 0.9104272187176625, 'min_monthly_return_pct': 0.46551444355160676, 'max_monthly_return_pct': 1.4762822960854294, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",3,100.0,128.8365383374223,0.0,,-0.09687179435789973,128.8365383374223,3.121477072446226,1,optimization_train,
0.008,1.8,16.0,20,44.0,64.0,0.35,1.4,3.0,6.0,breakout,1.2,0.0,0,0.35,0.3,True,False,True,10000,10000.0,0.0,0.0,"{'months_count': 9, 'average_monthly_return_pct': 0.0, 'min_monthly_return_pct': 0.0, 'max_monthly_return_pct': 0.0, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",0,,0.0,0.0,,0.0,0.0,0.0,0,optimization_train,
0.008,1.5,24.0,15,44.0,64.0,0.35,1.0,2.2,4.2,breakout,1.5,0.2,0,0.45,0.25,False,False,False,10000,10000.0,0.0,0.0,"{'months_count': 9, 'average_monthly_return_pct': 0.0, 'min_monthly_return_pct': 0.0, 'max_monthly_return_pct': 0.0, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",0,,0.0,0.0,,0.0,0.0,0.0,0,optimization_train,
0.008,1.5,20.0,15,44.0,64.0,0.35,1.4,3.0,6.0,pullback,1.2,0.0,0,0.35,0.3,True,False,True,10000,11178.121657994643,11.781216579946442,1.1999320407841119,"{'months_count': 9, 'average_monthly_return_pct': 1.1999320407841116, 'min_monthly_return_pct': 0.9136240336568235, 'max_monthly_return_pct': 1.3266734394448143, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",7,100.0,59.83558837777466,0.0,,-0.18420830928948181,59.83558837777466,2.1610161812148005,1,optimization_train,
0.006,2.1,16.0,15,48.0,60.0,0.5,1.2,2.6,4.8,combined,1.2,0.0,1,0.25,0.25,True,True,True,10000,10558.053912410694,5.580539124106942,0.5805237332988211,"{'months_count': 9, 'average_monthly_return_pct': 0.5805237332988211, 'min_monthly_return_pct': 0.26224463137278775, 'max_monthly_return_pct': 0.8025838606863456, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",3,100.0,62.4556835060571,0.0,,-0.04847388790087962,62.4556835060571,2.704190265987359,1,optimization_train,
0.012,2.1,16.0,15,44.0,64.0,0.8,1.4,3.0,6.0,breakout,1.2,0.0,1,0.45,0.25,False,True,True,10000,10000.0,0.0,0.0,"{'months_count': 9, 'average_monthly_return_pct': 0.0, 'min_monthly_return_pct': 0.0, 'max_monthly_return_pct': 0.0, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",0,,0.0,0.0,,0.0,0.0,0.0,0,optimization_train,
0.006,1.8,20.0,20,48.0,60.0,0.5,1.2,2.6,4.8,combined,1.5,0.0,0,0.25,0.25,True,False,False,10000,10673.75073620609,6.7375073620608905,0.6994991310090379,"{'months_count': 9, 'average_monthly_return_pct': 0.6994991310090379, 'min_monthly_return_pct': 0.4907447979357604, 'max_monthly_return_pct': 0.9406414759316251, 'months_meeting_target': 0, 'target_achievement_pct': 0.0}",4,100.0,61.84045395898956,0.0,,-0.056545868877306574,61.84045395898956,2.5610029671785126,1,optimization_train,
